backend,degree,D,M,N_train,N_test,epochs,lr,batch_size,ridge_alpha,noise_std,fit_time_s,mse,r2,w_corr
metal,1,16,16,1024,4096,400,0.0005,1024,1e-06,0.01,0.44565296173095703,0.23978939652442932,0.5669562990605435,0.9968550652568183
ridge,1,16,16,1024,4096,400,0.0005,1024,1e-06,0.01,0.002264261245727539,0.00010429663234390318,0.9998116472191,0.9999991459573104
metal,1,64,64,1024,4096,400,0.0005,1024,1e-06,0.01,0.4866487979888916,1.4722387790679932,0.5163598373156455,0.9813080045534617
ridge,1,64,64,1024,4096,400,0.0005,1024,1e-06,0.01,0.0016927719116210938,0.0001067843841155991,0.9999649206245345,0.9999986284176986
metal,1,256,256,1024,4096,400,0.0005,1024,1e-06,0.01,0.4468350410461426,4.608006000518799,0.49408838116473985,0.9210431169946444
ridge,1,256,256,1024,4096,400,0.0005,1024,1e-06,0.01,0.011357784271240234,0.0001445452799089253,0.9999841304163785,0.9999977816026246
metal,1,1024,1024,4096,4096,400,0.0005,1024,1e-06,0.01,2.0896639823913574,3.5441784858703613,0.9083379809644605,0.9759716944536448
ridge,1,1024,1024,4096,4096,400,0.0005,1024,1e-06,0.01,0.2377910614013672,0.00013190257595852017,0.999996588643468,0.9999995746755665
